CWI_ID,TCMBank_ID,level1_name_en,level2_name,TCM_name,TCM_name_en,Herb_pinyin_name,Herb_latin_name,Properties,Meridians,UsePart,Function,Indication,Toxicity,Clinical_manifestations,Therapeutic_en_class,Therapeutic_cn_class,TCMID_id,TCM_ID_id,SymMap_id,TCMSP_id,Herb_ID
CWIHE002650,TCMBANKHE002650,,,美洲血根菜,BIoodroot,,,,,,,,,,,,,,,,
CWIHE002651,TCMBANKHE002651,,,巴比翠雀花,Barbey Larkspur*,,,,,,,,,,,,,,,,
CWIHE002652,TCMBANKHE002652,,,香樟木,stem of Yellow cinnamon,XIANG ZHANG MU,Ligum Cinnamomi Camphorae,Warm; Slightly Pungent,Spleen; Stomach,Cinnamomum porrectum(Roxb.) Kosterm,,,,,,,,1441,,760,HERB006065
CWIHE002653,TCMBANKHE002653,,,沃氏桉,Wandoo Eucalyptus*,,,,,,,,,,,,,,,,
CWIHE002654,TCMBANKHE002654,,,汶川柴胡,Wenchuan Thorowax*,,,,,,,,,,,,,,,,
CWIHE002655,TCMBANKHE002655,,, 分季度,Long Stephania,,,,,,,,,,,,,,,,
CWIHE002656,TCMBANKHE002656,,,,Grey Arcyria,HUI JIN SE TUAN WANG JUN,Arcyria cinerea,,,,,,,,,,,4014,,,HERB002618
CWIHE002657,TCMBANKHE002657,,,社论羊角拗,Thollon Strophanthus*,,,,,,,,,,,,,,,,
CWIHE002658,TCMBANKHE002658,,,,Greywhite Seseli,HUI BAI XIE HAO,Seseli incanum,,,,,,,,,,,1924,,,HERB002606
CWIHE002659,TCMBANKHE002659,,,天竺黄,Chinese schinzostachyum Tabasheer,TIAN ZHU HUANG,Concretio Silicea Bambusae,Cold; Sweet,Liver; Heart; Gallbladder,,For desolving phlegm,,,,Phlegresolving Medicine,化痰药,SMHB00398,3273,398,696,HERB005485
CWIHE002660,TCMBANKHE002660,,, 峨嵋卷柏,Emei Spikemoss*,,,,,,,,,,,,,,,,
CWIHE002661,TCMBANKHE002661,,,白合,Greenish  LiIy ,,,,,,,,,,,,,,,,
CWIHE002662,TCMBANKHE002662,,,坚挺马鞭草*,Strict Verbena*,,,,,,,,,,,,,,,,
CWIHE002663,TCMBANKHE002663,,,金腰子,AIternateIeaf GoIden-saxifrage,,,,,,,,,,,,,,,,
CWIHE002664,TCMBANKHE002664,,,,EuchretaIeaf Common Jasminorange,,,,,,,,,,,,,,,,
CWIHE002665,TCMBANKHE002665,,,乌头附子尖,Radix Aconiti tipus,WU TOU FU ZI JIAN,,,,,,,,,,,,2568,,,HERB005760
CWIHE002666,TCMBANKHE002666,,,泡桐花,Flos Paulowniae fortunei,PAO TONG HUA,,,,,,,,,,,,7850,,,HERB004328
CWIHE002667,TCMBANKHE002667,,,,Tinctorial Caesalpinia,SE ZE YUN SHI,Caesalpinia tinctoria,,,,,,,,,,,6894,,,HERB004842
CWIHE002668,TCMBANKHE002668,,,红影木,,,,,,,,,,,,,,,,,
CWIHE002669,TCMBANKHE002669,,,潘庄叶下珠,Discoid Leafflower,PAN ZHUANG YE XIA ZHU,Phyllanthus discoides,,,,,,,,,,,2209,,,HERB004315
CWIHE002670,TCMBANKHE002670,,,伞房花序红月桂*,,,,,,,,,,,,,,,,,
CWIHE002671,TCMBANKHE002671,,,,Macradenous Milkwort,DA XIAN YUAN ZHI,Polygala macradenia,,,,,,,,,,,2178,,,HERB001114
CWIHE002672,TCMBANKHE002672,,,黄大豆,Semen Glycines max,HUANG DA DOU,,,,,,,,,,,,4946,,,HERB002493
CWIHE002673,TCMBANKHE002673,,,北美鬼臼,,BEI MEI GUI JIU,,,,,,,,,,,,5907,,,HERB000392
CWIHE002674,TCMBANKHE002674,,, 白贤书,Shortstamen Stephania*,,,,,,,,,,,,,,,,
CWIHE002675,TCMBANKHE002675,,,,Alliaceous Pencilwood,CONG JIAN MU,Dysoxylum alliaceum,,,,,,,,,,,2884,,,HERB000951
CWIHE002676,TCMBANKHE002676,,,真叶藤黄,Realleaf Garcinia*,,,,,,,,,,,,,,,,
CWIHE002677,TCMBANKHE002677,,,方剂,Fourstamen Stephania,,,,,,,,,,,,,,,,
CWIHE002678,TCMBANKHE002678,,,灰黄华,Cinereous Therinopsis*,,,,,,,,,,,,,,,,
CWIHE002679,TCMBANKHE002679,,,柔雷牛奶菜,Roylei Condorvine*,,,,,,,,,,,,,,,,
CWIHE002680,TCMBANKHE002680,,,淫羊藿属（小蘗科）,,,,,,,,,,,,,,,,,
CWIHE002681,TCMBANKHE002681,,,,Variegate Bauhinia,CAI BAN YANG TI JIA,Bauhinia variegata,,,root,"To fortify spleen and eliminate damp, stanch bleeding.","Indigestion, acute gastroenteritis, hepatitis, cough and hemoptysis, pain in joints, knocks and falls.",,,,,,4156,,,HERB000557
CWIHE002682,TCMBANKHE002682,,,长圆心形胡桐,Cordate-oblong Beautyleaf*,,,,,,,,,,,,,,,,
CWIHE002683,TCMBANKHE002683,,,猪肾,Pig Kidney,ZHU SHEN,Nephridium Porci,Mild; Salty,Kidney,,,,,,,,,5909,,887,HERB007121
CWIHE002684,TCMBANKHE002684,,,鲶鱼,,NIAN YU,Parasilurus asotus,,,meat or whole fish,"To enrich yin and supplement vacuity, fortify spleen and promote digestion, promote lactation, disinhibit urine.","Vacuity detriment and emaciation weakness, spleen-stomach vacuity, indigestion, postpartum scant milk, edema, inhibited urination [=dysuria].",,,,,,8012,,,HERB004169
CWIHE002685,TCMBANKHE002685,,,东廧,Whitethorn*,,,,,,,,,,,,,,,,
CWIHE002686,TCMBANKHE002686,,,黄瓜根,Radix Cucumidis sativi,HUANG GUA GEN,,,,,,,,,,,,2712,,,HERB002499
CWIHE002687,TCMBANKHE002687,,,脑石,,NAO SHI,,Mild; Sweet,Kidney,,,,,,,,,8175,,527,HERB004128
CWIHE002688,TCMBANKHE002688,,,苦杏仁,bitter Apricot seed,KU XING REN,Semen armeniacae amarum,Minor Warm; Bitter,Lung; Large Intestine,,"To relieve cough and asthma, and to relax bowels.","Treatment of cough and asthma accompanied by stuffiness in the chest and profuse expectoration, constipation due to deficiency of blood and fluid.",Toxic,,Antitussive Antiasthmetics,止咳平喘药,SMHB00230,5014,230,433,HERB003174
CWIHE002689,TCMBANKHE002689,,,栝楼,Mongolian Snakegourd,,,,,,,,,,,,,,,,
CWIHE002690,TCMBANKHE002690,,,梧桐花,Flos Firmianae plantanifoliae,WU TONG HUA,,,,,,,,,,,,5006,,,HERB005756
CWIHE002691,TCMBANKHE002691,,,库阿没药,Kua Myrrhtree*,,,,,,,,,,,,,,,,
CWIHE002692,TCMBANKHE002692,,,乌鸡,Black Chicken,WU JI,Gallus domesticus,Mild; Sweet,Liver; Kidney,,,,,,,,,4983,,723,HERB005716
CWIHE002693,TCMBANKHE002693,,,奥帕草,,,,,,,,,,,,,,,,,
CWIHE002694,TCMBANKHE002694,,,长穗木,Jamaica  Falsevalerian ,,,,,,,,,,,,,,,,
CWIHE002695,TCMBANKHE002695,,,黄耆属,,,,,,,,,,,,,,,,,
CWIHE002696,TCMBANKHE002696,,,毛蕊花叶土木香,Mulleinleaf Inula*,,,,,,,,,,,,,,,,
CWIHE002697,TCMBANKHE002697,,,粗叶脉胡椒,Grossnerve Pepper*,,,,,,,,,,,,,,,,
CWIHE002698,TCMBANKHE002698,,,华山参,Physochlaie Radix,HUA SHAN SHEN,,,,,,"Treatment of cough and asthma with thin expectoration, palpitation and insomnia.",,,Antitussive Antiasthmetics,止咳平喘药,SMHB00180,3013,180,971,HERB002446
CWIHE002699,TCMBANKHE002699,,,暗花金挖耳,Northeast Dim-flower Carpesium,DONG BEI AN HUA JIN WA ER,Carpesium triste var. manshuricum,,,,,,,,,,,2777,,,HERB001320
CWIHE002700,TCMBANKHE002700,,,羚羊角,Antelope Horn,LING YANG JIAO,Cornu Saigae Tataricae,Cold; Salty,Liver; Heart,Saiga tatarica Linnaeus,"Treatment of high fever with convulsion and impairment of consciousness, eclompsia, epilepsy, mamia, headache and dizziness, redness of the eye with corneal opacity, epidemic fibrile diseases with eruption, carbuncle, abscess and sores.","1. Intraperitoneal injection of its alcoholic extract (0.05mg/g) exerts sedative effect in mice.2. Its alcoholic extract and hydrolsate lower vaccine-induced fever in rabbits.3. Analgesic, anti-convulsive and hypotensive.",,"1. Intraperitoneal injection of its alcoholic extract (0.05mg/g) exerts sedative effect in mice.2. Its alcoholic extract and hydrolsate lower vaccine-induced fever in rabbits.3. Analgesic, anti-convulsive and hypotensive.",For calming liver and containing wind,平肝息风,,1911,,459,HERB003441
CWIHE002701,TCMBANKHE002701,,,落花生叶,,LUO HUA SHENG YE,,,,,,,,,,,,6179,,,HERB003587
CWIHE002702,TCMBANKHE002702,,,,Oily Daphne,YOU RU I XIANG,Daphne oleoides,,,,,,,,,,,2665,,,HERB006692
CWIHE002703,TCMBANKHE002703,,,蜣螂,dung beetle,QIANG LANG,catharsii molosii,Cold; Salty,Liver,,For breaking blood and desolving stasis,,Toxic,,Blood activation and stasis removal,活血化淤,,7881,,571,HERB004480
CWIHE002704,TCMBANKHE002704,,,苦参碱,Matrine,KU SHEN JIAN,Matrinum,,,,,,,,,,,4040,,432,HERB003165
CWIHE002705,TCMBANKHE002705,,,小鹿茄,Viatic Nightshade*,,,,,,,,,,,,,,,,
CWIHE002706,TCMBANKHE002706,,,台湾休闲菊,Taiwan Spiraea*,,,,,,,,,,,,,,,,
CWIHE002707,TCMBANKHE002707,,,,Bowedconical Rabdosia,WAN ZHUI XIANG CHA CAI,Isodon loxothyrsa,,,,,,,,,,,2317,,,HERB005635
CWIHE002708,TCMBANKHE002708,,,金盏花,Potmarigold Calendula ,,,,,,,,,,,,,,,,
CWIHE002709,TCMBANKHE002709,,,美登木,Chuchuhuasc Mayten,QIU SHI MEI DENG MU,Maytenus chuchuhuasca,,,,Anticarcinoma.,Skin cancer.,,,,,,1987,,,HERB004558
CWIHE002710,TCMBANKHE002710,,,铁角蕨羽苔,,,,,,,,,,,,,,,,,
CWIHE002711,TCMBANKHE002711,,,花桃树,,HUA TAO SHU,Trewin nudiflora,,,,,,,,,,,4568,,,HERB002454
CWIHE002712,TCMBANKHE002712,,,,Manyflower Christmasbush* ,,,,,,,,,,,,,,,,
CWIHE002713,TCMBANKHE002713,,,白罂粟,,BAI YING SU,,,,,,,,,,,,2015,,,HERB000300
CWIHE002714,TCMBANKHE002714,,,互生叶野决明,Alternateleaf Thermopsis*,,,,,,,,,,,,,,,,
CWIHE002715,TCMBANKHE002715,,,绿豆,mung bean,LV DOU,Semen Phaseoli Radiati,Cool; Sweet,Stomach; Heart,,"1. To clear heat and toxic materials, clear summer-heat and promote diuresis. 2. To relieve the metallic and drug poisoning. 3. External use for clearing away heat and promoting tissue regeneration. 4. To reduce the level of blood-fat.",1. Diuretic. 2. Its coat exerts a bacteriostatic effect on staphylococcus.,,1. Diuretic. 2. Its coat exerts a bacteriostatic effect on staphylococcus. ,Antipyretic Detoxicate Drugs,清热解毒药,SMHB00262,2550,262,486,HERB003618
CWIHE002716,TCMBANKHE002716,,,铜绿,Verdigris,TONG LV,Aerugo,Mild; Sour; Punkery,Liver; Gallbladder,,"For eliminating toxic materials, dissolving rottenness and growing new muscles",,Extremely Toxic,,"For eliminating toxic materials, dissolving rottenness and growing new muscles",拔毒化腐生肌,,2432,,707,HERB005533
CWIHE002717,TCMBANKHE002717,,,小花五味子,Smallflower Magnoliavine,XIAO HUA WU WEI ZI,Schisandra micrantha,,,root,"To dispel wind and disinhibit damp, rectify qi and quicken blood.","Wind-damp bone pain, knocks and falls, stomachache, menstrual disorder, nephritis.",,,,,,2709,,,HERB006113
CWIHE002718,TCMBANKHE002718,,,,Gibraltar Thorowax,ZHI BU LUO TUO CAI HU,Bupleurum gibraltaricum,,,,,,,,,,,6850,,,HERB006980
CWIHE002719,TCMBANKHE002719,,,口蘑科,,,,,,,,,,,,,,,,,
CWIHE002720,TCMBANKHE002720,,,锡囊马尾藻,Parvivesiculose Gulfweed,XI NANG MA WEI ZAO,Sargassum parvivesiculosum,,,,,,,,,,,1115,,,HERB005866
CWIHE002721,TCMBANKHE002721,,,,Poison Euphorbia,PO SEN DA JI,Euphorbia poisonii,,,,,,,,,,,1886,,,HERB004390
CWIHE002722,TCMBANKHE002722,,,长穗地榆,,CHANG SUI DI YU,,,,,,,,,,,,4808,,,HERB000710
CWIHE002723,TCMBANKHE002723,,,,Riparian Rosewood,HE AN HUANG TAN,Dalbergia riparia,,,,,,,,,,,3040,,,HERB002155
CWIHE002724,TCMBANKHE002724,,,阿尔及尔大翅蓟,Algerian Cottonthistle*,,,,,,,,,,,,,,,,
CWIHE002725,TCMBANKHE002725,,,崩斧木,,,,,,,,,,,,,,,,,
CWIHE002726,TCMBANKHE002726,,,,Hispid Pepper,YING MAO HU JIAO,Piper hispidum,,,,,,,,,,,2139,,,HERB006645
CWIHE002727,TCMBANKHE002727,,,悬垂荚蒾,Weeping Viburnum*,,,,,,,,,,,,,,,,
CWIHE002728,TCMBANKHE002728,,,葡萄糖,Glucose,PU TAO TANG,Glucosum,,,,,,,,,,,3051,,555,HERB004409
CWIHE002729,TCMBANKHE002729,,,四数鸡骨常山,Quaternary Alstonia*,,,,,,,,,,,,,,,,
CWIHE002730,TCMBANKHE002730,,,橘络,Citri Fructus Retinervus,JU LUO,,,,,,,,,Qi Regulating Drugs,理气药,SMHB00221,971,221,,HERB003040
CWIHE002731,TCMBANKHE002731,,,斯玛丽金世联,,,,,,,,,,,,,,,,,
CWIHE002732,TCMBANKHE002732,,,蚕沙,Bombyx Mori L.,CAN SHA,,,,,,"1. Treatment of damp-heat obstruction syndrome. Silkworm excrement (Cansha) is used with Tetrandra root (Fangji), Coix seed (Yiyiren) and Talc (Huashi) in the formula Xuanbi Tang .2. Eczema. The decoction of the herb is used for external washing. 3. Treat",,,Wind-Dampnessdispelling And Colddispersing Medicinal,祛风湿散寒药,SMHB00050,1462,50,69,HERB000570
CWIHE002733,TCMBANKHE002733,,,沙苑蒺藜,Seed of Flaststem Milkvetch,SHA YUAN JI LI,Semen Astragali Complanati,Warm; Sweet,Liver; Kidney,Astragalus complanatus R.Br,"Treatment of headache and dizziness, distending pain in the chest and costal regions, cessation of milk secretion, mastitis, redness of the eye with formation of nebula, urticaria with itching.","Treatment of headache and dizziness, distending pain in the chest and costal regions, cessation of milk secretion, mastitis, redness of the eye with formation of nebula, urticaria with itching.",,,For tonifying weakness,补虚,,3939,,617,HERB004863
CWIHE002734,TCMBANKHE002734,,,厚朴子,Magnolia officinalis Rehd. Et Wils,HOU PO ZI,,,,,,,,,,,,5717,,,HERB002341
CWIHE002735,TCMBANKHE002735,,,宽丝罂粟属,,,,,,,,,,,,,,,,,
CWIHE002736,TCMBANKHE002736,,,,Acuminate Glochidion,JIAN JIAN SUAN PAN ZI,Glochidion acuminatum,,,,,,,,,,,4858,,,HERB002797
CWIHE002737,TCMBANKHE002737,,,长话图拉书,Longflower Galipea,CHANG HUA TU LA SHU,Galipea longiflora,,,,,,,,,,,2571,,,HERB000687
CWIHE002738,TCMBANKHE002738,,,绣线菊属,,,,,,,,,,,,,,,,,
CWIHE002739,TCMBANKHE002739,,,卵叶娃儿藤*,Ovateleaf Tylophora,,,,,,,,,,,,,,,,
CWIHE002740,TCMBANKHE002740,,,,Tosa Goldsaxifrage,SHANG ZUO ZHOU JIN YAO,Chrysosplenium tosaense,,,,,,,,,,,3096,,,HERB004959
CWIHE002741,TCMBANKHE002741,,,羽状芸香,Pinnate Rue* ,,,,,,,,,,,,,,,,
CWIHE002742,TCMBANKHE002742,,,后夜钩藤,Thickleaf Gambirplant,HOU YE GOU TENG,Uncaria callophylla,,,,,,,,,,,6818,,,HERB002348
CWIHE002743,TCMBANKHE002743,,,芳香木瓣树*,Aromatic Xylopia*,,,,,,,,,,,,,,,,
CWIHE002744,TCMBANKHE002744,,,,Spineless Powderpuff,WU CI ZHU YING HUA,Calliandra inermis,,,,,,,,,,,6091,,,HERB005701
CWIHE002745,TCMBANKHE002745,,,百部科植物,,,,,,,,,,,,,,,,,
CWIHE002746,TCMBANKHE002746,,,,Manyflower Starbush,DUO HUA U LIAN,Turraea floribunda,,,,,,,,,,,5769,,,HERB001511
CWIHE002747,TCMBANKHE002747,,,炮诃子,PreparedFruit of Medicine Terminalia,PAO HE ZI,Fructus Terminaliae Preparata,Mild; Sour; Bitter; Punkery,Lung; Large Intestine,Terminaliae chebula Retz,"Treatment of protracted diarrhea with hematochezia and prolapse of the rectum, chronic cough with sore throat and hoarseness of voice.","Treatment of protracted diarrhea with hematochezia and prolapse of the rectum, chronic cough with sore throat and hoarseness of voice.",,,Astriction,收涩,,1058,,541,HERB004321
CWIHE002748,TCMBANKHE002748,,,,Mastic Africa Juniper,XIANG CI BAI FEI ZHOU BIAN ZHONG,Juniperus thurifera var. africana,,,,,,,,,,,2037,,,HERB006015
CWIHE002749,TCMBANKHE002749,,,,Senna Lemongrass,XIN NONG XIANG MAO,Cymbopogon sennaarensis,,,,,,,,,,,5334,,,HERB006214
CWIHE002750,TCMBANKHE002750,,,银白离褶伞/合生离褶伞,,,,,,,,,,,,,,,,,
CWIHE002751,TCMBANKHE002751,,,柯楠树,Corinan Tree*,,,,,,,,,,,,,,,,
CWIHE002752,TCMBANKHE002752,,,,Microwhite White Quebracho,WEI BAI BAI JIAN MU,Aspidosperma subincanum,,,,,,,,,,,4680,,,HERB005648
CWIHE002753,TCMBANKHE002753,,,榆花,Flos Ulmus pumilae,YU HUA,,,,,,,,,,,,7760,,,HERB006716
CWIHE002754,TCMBANKHE002754,,,滑石粉,Talc Powder,HUA SHI FEN,Pulvis Talci,Sweet; cold,Stomach; bladder,,"Treatment of urinary infection, urolithiasis with difficult urination accompanied by burning pain, fidgetness and thirst caused by summer damp, diarrhea caused by damp-heat, external use for eczema, sores with marked exudation, miliaria.","Treatment of urinary infection, urolithiasis with difficult urination accompanied by burning pain, fidgetness and thirst caused by summer damp, diarrhea caused by damp-heat, external use for eczema, sores with marked exudation, miliaria.",,,For promoting diuresis and penetrating dampness,利水渗湿,,5212,,972,HERB002451
CWIHE002755,TCMBANKHE002755,,,脆灯心柳珊瑚,Junceella fragilis,,,,,,,,,,,,,,,,
CWIHE002756,TCMBANKHE002756,,,夜家藤,,YE JIA TENG,,,,,,,,,,,,1391,,,HERB006466
CWIHE002757,TCMBANKHE002757,,,短齿黄芪,Shorttooth Milkvetch*,,,,,,,,,,,,,,,,
CWIHE002758,TCMBANKHE002758,,,,Pungent Jerusalemsage,CI CAO SU,Phlomis pungens,,,,,,,,,,,2960,,,HERB000910
CWIHE002759,TCMBANKHE002759,,,杨梅根,Myrica rubra Sieb. Et Zucc,YANG MEI GEN,,,,,,,,,,,,5008,,,HERB006391
CWIHE002760,TCMBANKHE002760,,,甜周围假雄蕊,,,,,,,,,,,,,,,,,
CWIHE002761,TCMBANKHE002761,,,笑靥花,BridaIwreath Spiraea,,,,,,,,,,,,,,,,
CWIHE002762,TCMBANKHE002762,,,马尾莲,root and rhizome of Manyleaf Meadowrue,MA WEI LIAN,Radix et Rhizoma Thalictri,,,,,"Influenza, fever in children, common cold with fever, measles papules, malaria, damp-heat diarrhea dysentery, jaundice, red eyes with gall.",,,Heat-Clearing And Dampnessdrying Medicinal,清热燥湿药,SMHB00271,7591,271,497,HERB003698
CWIHE002763,TCMBANKHE002763,,,珍珠杆,stem of Red and Yellow Garden Raspberry,ZHEN ZHU GAN,caulis Rubi idaei,Cold; Bitter,Liver; Kidney,Rubus idaeus L.,,,Extremely Toxic,,,,,1628,,183,HERB006969
CWIHE002764,TCMBANKHE002764,,,蜂蜂树,,,,,,,,,,,,,,,,,
CWIHE002765,TCMBANKHE002765,,,囊状毛蕊花,Saccate Mullein,NANG ZHUANG MAO RUI HUA,Verbascum saccatum,,,,,,,,,,,8059,,,HERB004125
CWIHE002766,TCMBANKHE002766,,,,Picture Houndstongue,ZHUO SE LIU LI CAO,Cynoglossum pictum,,,,,,,,,,,7313,,,HERB007149
CWIHE002767,TCMBANKHE002767,,,桔黄罂粟,Orange Poppy*,,,,,,,,,,,,,,,,
CWIHE002768,TCMBANKHE002768,,,爱思形刺桐,S-shape Coralbean*,,,,,,,,,,,,,,,,
CWIHE002769,TCMBANKHE002769,,,小叶华北绣线菊,Smallleaf Fritsch Spiraea,XIAO YE HUA BEI XIU XIAN JU,Spiraea fritschiana var. parvifolia,,,,,,,,,,,6022,,,HERB006170
CWIHE002770,TCMBANKHE002770,,,年报春,Viscid Primrose,NIAN BAO CHUN,Primula viscosa,,,,,,,,,,,2782,,,HERB004160
CWIHE002771,TCMBANKHE002771,,,杏鲍菇,,,,,,,,,,,,,,,,,
CWIHE002772,TCMBANKHE002772,,,威尔斯绿绒蒿,Welsh Poppy ,,,,,,,,,,,,,,,,
CWIHE002773,TCMBANKHE002773,,,最高牡荆叶,Highest Chastetree Leaf,ZUI GAO MU JING YE,Vitex altissima,,,,,,,,,,,6628,,,HERB007262
CWIHE002774,TCMBANKHE002774,,,蝗虫,Grasshopper,,,,,,,,,,,,,,,,
CWIHE002775,TCMBANKHE002775,,,多脉南美肉豆蔻*,,,,,,,,,,,,,,,,,
CWIHE002776,TCMBANKHE002776,,,白花菜子,Semen Cleomis,BAI HUA CAI ZI,,,,,,"Wind-cold sinew and bone numbness, aching pain in back and shoulder, lumbago, swelling pain due to external injury, bone tuberculosis, hemorrhoids and fistulas.",,,Wind-Dampnessdispelling And Colddispersing Medicinal,祛风湿散寒药,SMHB00012,4888,12,,HERB000197
CWIHE002777,TCMBANKHE002777,,,布郎维吉,,,,,,,,,,,,,,,,,
CWIHE002778,TCMBANKHE002778,,,盾叶大戟,Obtuseleaf Euphorbia,DUN YE DA JI,Euphorbia obtusifolia var. obtusifolia,,,,,,,,,,,8020,,,HERB001475
CWIHE002779,TCMBANKHE002779,,,藕汁,lotus rhizome,OU ZHI,Succus Rhizoma Lotus,Mild; Sweet; Punkery,Lung; Stomach; Liver,Nelumbo nucifera Gaertn.,"Treament of hematemesis, hemoptysis, hematuria, abnormal uterine bleeding.","Treament of hematemesis, hemoptysis, hematuria, abnormal uterine bleeding.",,,Bleeding control,止血,,2678,,538,HERB004271
CWIHE002780,TCMBANKHE002780,,,扁竹根,Rhizoma seu Radix Iridis japoniae,BIAN ZHU GEN,,,,,,,,,,,,5296,,,HERB000481
CWIHE002781,TCMBANKHE002781,,,粉芭蕉杂交种植变种,,,,,,,,,,,,,,,,,
CWIHE002782,TCMBANKHE002782,,,波罗香藤,,,,,,,,,,,,,,,,,
CWIHE002783,TCMBANKHE002783,tonifying and replenishing medicinal,2.补阳药(22-23),葫芦巴,Trigonella foenum-graecum,,,,,,,,,,,,,,,,
CWIHE002784,TCMBANKHE002784,,,葛叶,Folium Puerariae lobatae,GE YE,,,,,,,,,,,,7348,,,HERB001891
CWIHE002785,TCMBANKHE002785,,,"Heliotropium floridum变种, 紫草科",,,,,,,,,,,,,,,,,
CWIHE002786,TCMBANKHE002786,,,马氏金腰,Maximowicz Goldsaxifrage*,,,,,,,,,,,,,,,,
CWIHE002787,TCMBANKHE002787,,,着色琉璃草,Picture Houndstongue*,,,,,,,,,,,,,,,,
CWIHE002788,TCMBANKHE002788,,,碧桃干,Fructus pruni immaturus,BI TAO GAN,,,,,,,,,,,,1312,,,HERB000438
CWIHE002789,TCMBANKHE002789,,,无刺帽柱木,Spineless Mitragyna*,,,,,,,,,,,,,,,,
CWIHE002790,TCMBANKHE002790,,,柯明西萝芙木,Cummins DeviIpepper*,,,,,,,,,,,,,,,,
CWIHE002791,TCMBANKHE002791,,,全缘叶波罗密,Integrifolious Artocarpus,QUAN YUAN YE BO LUO MI,Artocarpus integrifolia,,,,,,,,,,,7088,,,HERB004586
CWIHE002792,TCMBANKHE002792,,,光华当归,Glabrate Angelica,GUANG HUA DANG GUI,Angelica glabra,,,,,,,,,,,7214,,,HERB002001
CWIHE002793,TCMBANKHE002793,,,,Hairy Heliotrope,YING MAO TIAN JIE CAI,Heliotropium hirsutum,,,,,,,,,,,5003,,,HERB006648
CWIHE002794,TCMBANKHE002794,,,中国洋椿,Chinese Cedrela*,,,,,,,,,,,,,,,,
CWIHE002795,TCMBANKHE002795,,,喇叭状多果蔬,,LA BA ZHUANG DUO GUO SHU,Pleiocarpa tubicina,,,,,,,,,,,7398,,,HERB003228
CWIHE002796,TCMBANKHE002796,,,,Littoral Verbena,HAI BIAN MA BIAN CAO,Verbena littoralis,,,,,,,,,,,6570,,,HERB002077
CWIHE002797,TCMBANKHE002797,,,秋芍药,Hupeh Anemone ,,,,,,,,,,,,,,,,
CWIHE002798,TCMBANKHE002798,,,绵毛钩藤*,Woolly Gambirplant*,,,,,,,,,,,,,,,,
CWIHE002799,TCMBANKHE002799,,,,Caruth Wormwood,KA SI HAO,Artemisia caruthii,,,,,,,,,,,5848,,,HERB003087
CWIHE002800,TCMBANKHE002800,,,珍珠,Pearl,ZHEN ZHU,Margarita,Cold; Sweet; Salty,Liver; Heart,,"Treatment of palpitation and insomnia, convulsion, epilepsy, nebula, skin ulcerations difficult to heal.","Treatment of palpitation and insomnia, convulsion, epilepsy, nebula, skin ulcerations difficult to heal.",,,,平肝息风,,3526,,182,HERB006967
CWIHE002801,TCMBANKHE002801,,,,Zhongba Monkshood Daughter Root,ZHONG BA E ZHANG YE FU ZI,Aconitum carmichaeli cv,,,daughter root,See Aconitum carmichaeli .,See Aconitum carmichaeli .,,,,,,6317,,,HERB007052
CWIHE002802,TCMBANKHE002802,,,,Suave Holarrhena,WEN ROU ZHI XIE MU,Holarrhena mitis,,,,,,,,,,,7401,,,HERB005679
CWIHE002803,TCMBANKHE002803,,,药用黑面神叶,Medicinal Breynia Leaf*,,,,,,,,,,,,,,,,
CWIHE002804,TCMBANKHE002804,tonifying and replenishing medicinal,4.补阴药(17-17),黑芝 麻,Sesamum indicum,,,,,,,,,,,,,,,,
CWIHE002805,TCMBANKHE002805,,,,Rostral Ninenode,HUI ZHUANG JIU JIE,Psychotria rostrata,,,,,,,,,,,4689,,,HERB002636
CWIHE002806,TCMBANKHE002806,,,,Umbellate Pepper,SAN XING HU JIAO,Piper umbellatum,,,,,,,,,,,1034,,,HERB004801
CWIHE002807,TCMBANKHE002807,,,日本赤松,Pinus densiflora,RI BEN CHI SONG,,,,,,,,,,,,7302,,,HERB004627
CWIHE002808,TCMBANKHE002808,,,佩里远志,Paene Milkwort* ,,,,,,,,,,,,,,,,
CWIHE002809,TCMBANKHE002809,,,枣树根,Radix Ziziphi jujubae,ZAO SHU GEN,,,,,,,,,,,,6501,,,HERB006895
CWIHE002810,TCMBANKHE002810,,,,Peltate Milkwort,ZU YE CAO,Polygala peltatum,,,,,,,,,,,7346,,,HERB007259
CWIHE002811,TCMBANKHE002811,,,,Kenya Coralbean,KEN NI YA CI TONG,Erythrina burttii,,,,,,,,,,,5766,,,HERB003121
CWIHE002812,TCMBANKHE002812,,,枯苞,Monarch-of-the-East ,,,,,,,,,,,,,,,,
CWIHE002813,TCMBANKHE002813,,,蓝实,Fructus Polygoni tinctori,LAN SHI,,,,,,,,,,,,4861,,,HERB003259
CWIHE002814,TCMBANKHE002814,,,红纹马先蒿,Redstriate Woodbetony,HONG WEN MA XIAN HAO,Pedicularis striata,,,,,,,,,,,6215,,,HERB002328
CWIHE002815,TCMBANKHE002815,,,牛大力,Millettiae Speciosae Radix,NIU DA LI,,,,,,,,,Antitussive Antiasthmetics,止咳平喘药,SMHB00302,,302,,HERB004193
CWIHE002816,TCMBANKHE002816,,,长话钩藤,Longflower Gambirplant,CHANG HUA GOU TENG,Uncaria longiflora,,,,,,,,,,,1288,,,HERB000685
