CWI_ID,TCMBank_ID,Gene_name,Gene_alias,Description,Map_location,Gene_Type,TTD_gene_type
CWITA001465,TCMBANKGE001465,AIMP1,EMAP2; EMAPII; HLD3; SCYE1; p43,aminoacyl tRNA synthetase complex interacting multifunctional protein 1,4q24,protein-coding,/
CWITA001466,TCMBANKGE001466,TTLL8,-,tubulin tyrosine ligase like 8,22q13.33,protein-coding,/
CWITA001467,TCMBANKGE001467,LTA4H,-,leukotriene A4 hydrolase,12q23.1,protein-coding,Successful target
CWITA001468,TCMBANKGE001468,PHYKPL,AGXT2L2; PHLU,5-phosphohydroxy-L-lysine phospho-lyase,5q35.3,protein-coding,/
CWITA001469,TCMBANKGE001469,GPR78,-,G protein-coupled receptor 78,4p16.1,protein-coding,/
CWITA001470,TCMBANKGE001470,SLC4A7,DKFZp686H168; NBC2; NBC3; SBC2; SLC4A6,"solute carrier family 4, sodium bicarbonate cotransporter, member 7",3p22,protein-coding,
CWITA001471,TCMBANKGE001471,RWDD2A,RWDD2; dJ747H23.2,RWD domain containing 2A,6q14.1,protein-coding,/
CWITA001472,TCMBANKGE001472,GRK2,ADRBK1; BARK1; BETAN/AARK1,G_Protein-Coupled_Receptor_Kinase_2,11q13.2,protein-coding,
CWITA001473,TCMBANKGE001473,ACTRT1,AIP1; ARIP1; ARPT1; HSD27,actin related protein T1,Xq25,protein-coding,/
CWITA001474,TCMBANKGE001474,AMY1A,AMY1,amylase alpha 1A,1p21.1,protein-coding,/
CWITA001475,TCMBANKGE001475,TRNT1,CCA1; CGI-47; MtCCA; RPEM; SIFD,tRNA nucleotidyl transferase 1,3p26.2,protein-coding,/
CWITA001476,TCMBANKGE001476,MTG1,GTP; GTPBP7,mitochondrial ribosome associated GTPase 1,10q26.3,protein-coding,/
CWITA001477,TCMBANKGE001477,RDH8,PRRDH; SDR28C2,retinol dehydrogenase 8,19p13.2,protein-coding,/
CWITA001478,TCMBANKGE001478,RHOBTB2,DBC2; EIEE64; p83,Rho related BTB domain containing 2,8p21.3,protein-coding,/
CWITA001479,TCMBANKGE001479,STARD4,-,StAR related lipid transfer domain containing 4,5q22.1,protein-coding,/
CWITA001480,TCMBANKGE001480,BNIP3L,BNIP3a; NIX,BCL2 interacting protein 3 like,8p21.2,protein-coding,/
CWITA001481,TCMBANKGE001481,PMAIP1,APR; NOXA,Phorbol-12-Myristate-13-Acetate-Induced_Protein_1,18q21.32,protein-coding,
CWITA001482,TCMBANKGE001482,TNKS,ARTD5; PARP-5a; PARP5A; PARPL; TIN1; TINF1; TNKS1; pART5,tankyrase,8p23.1,protein-coding,Patented target
CWITA001483,TCMBANKGE001483,TSPAN8,CO-029; TM4SF3,tetraspanin 8,12q21.1,protein-coding,/
CWITA001484,TCMBANKGE001484,FEM1A,EPRAP,fem-1 homolog A,19p13.3,protein-coding,/
CWITA001485,TCMBANKGE001485,WARS,GAMMAN2; IFI53; IFP53,tryptophanyl-tRNA synthetase,14q32.31,protein-coding,
CWITA001486,TCMBANKGE001486,Idd6.3,Idd6c,insulin dependent diabetes susceptibility 6.3,-,unknown,/
CWITA001487,TCMBANKGE001487,CYP3A7,CP37; P450NHFLA,"cytochrome P450, family 3, subfamily A, polypeptide 7",7q21-q22.1,protein-coding,
CWITA001488,TCMBANKGE001488,PPM1N,-,"protein phosphatase, Mg2+/Mn2+ dependent 1N (putative)",19q13.32,protein-coding,/
CWITA001489,TCMBANKGE001489,CREB1,CREB; MGC9284,cAMP responsive element binding protein 1,2q34,protein-coding,
CWITA001490,TCMBANKGE001490,TMEM53,NET4,transmembrane protein 53,1p34.1,protein-coding,/
CWITA001491,TCMBANKGE001491,2610507B11Rik,AU022687; D11Bhm178e; D11Bhm179e; E1; Kiaa0100; mKIAA0100,RIKEN cDNA 2610507B11 gene,11 B5|11 46.74 cM,protein-coding,/
CWITA001492,TCMBANKGE001492,MYH13,MyHC-IIL; MyHC-eo,myosin heavy chain 13,17p13.1,protein-coding,/
CWITA001493,TCMBANKGE001493,CTSA,GLB2; GSL; NGBE; PPCA; PPGB,cathepsin A,20q13.12,protein-coding,Clinical Trial target
CWITA001494,TCMBANKGE001494,OAS1,IFIN4; OIAS; OIASI,"2',5'-oligoadenylate synthetase 1, 40/46kDa",12q24.1,protein-coding,
CWITA001495,TCMBANKGE001495,ARHGDIA,GDIA1; HEL-S-47e; NPHS8; RHOGDI; RHOGDI-1,Rho GDP dissociation inhibitor alpha,17q25.3,protein-coding,/
CWITA001496,TCMBANKGE001496,GLT8D1,AD-017; MSTP139,glycosyltransferase 8 domain containing 1,3p21.1,protein-coding,/
CWITA001497,TCMBANKGE001497,SIVA1,CD27BP; SIVA; Siva-1; Siva-2,SIVA1 apoptosis inducing factor,14q32.33,protein-coding,/
CWITA001498,TCMBANKGE001498,KCTD19,-,potassium channel tetramerization domain containing 19,16q22.1,protein-coding,/
CWITA001499,TCMBANKGE001499,ZNF582,-,zinc finger protein 582,19q13.43,protein-coding,/
CWITA001500,TCMBANKGE001500,DHRS11,ARPG836; FLJ39232; MGC4172; SDR24C1,dehydrogenase/reductase (SDR family) member 11,17q12,protein-coding,
CWITA001501,TCMBANKGE001501,XRCC5,KARP-1; KARP1; KU80; KUB2; Ku86; NFIV,X-ray repair cross complementing 5,2q35,protein-coding,Research target
CWITA001502,TCMBANKGE001502,HOXC10,HOX3I,homeobox C10,12q13.13,protein-coding,/
CWITA001503,TCMBANKGE001503,SIRPB2,PTPN1L; PTPNS1L3; dJ776F14.2,signal regulatory protein beta 2,20p13,protein-coding,/
CWITA001504,TCMBANKGE001504,TOP3B,TOP3B1,DNA topoisomerase III beta,22q11.22,protein-coding,/
CWITA001505,TCMBANKGE001505,XDH,XO; XOR,xanthine dehydrogenase,2p23.1,protein-coding,
CWITA001506,TCMBANKGE001506,ADRA1B,ADRA1; ALPHA1BAR,adrenoceptor alpha 1B,5q33.3,protein-coding,Successful target
CWITA001507,TCMBANKGE001507,RNFT2,TMEM118,"ring finger protein, transmembrane 2",12q24.22,protein-coding,/
CWITA001508,TCMBANKGE001508,TNFSF4,CD134L; CD252; GP34; OX-40L; OX4OL; TNLG2B; TXGP1,TNF superfamily member 4,1q25.1,protein-coding,Clinical Trial target
CWITA001509,TCMBANKGE001509,AGO3,EIF2C3,argonaute RISC catalytic component 3,1p34.3,protein-coding,/
CWITA001510,TCMBANKGE001510,WDR5B,-,WD repeat domain 5B,3q21.1,protein-coding,/
CWITA001511,TCMBANKGE001511,MPND,-,MPN domain containing,19p13.3,protein-coding,/
CWITA001512,TCMBANKGE001512,ZNF121,D19S204; ZHC32; ZNF20,zinc finger protein 121,19p13.2,protein-coding,/
CWITA001513,TCMBANKGE001513,TSC22D1,Ptg-2; TGFB1I4; TSC22,TSC22 domain family member 1,13q14.11,protein-coding,/
CWITA001514,TCMBANKGE001514,TLR7,TLR7-like,toll like receptor 7,Xp22.2,protein-coding,Successful target
CWITA001515,TCMBANKGE001515,ADM,AM; PAMP,adrenomedullin,11p15.4,protein-coding,Research target
CWITA001516,TCMBANKGE001516,POLR3A,ADDH; C160; HLD7; RPC1; RPC155; WDRTS; hRPC155,RNA polymerase III subunit A,10q22.3,protein-coding,/
CWITA001517,TCMBANKGE001517,CECR2,-,CECR2 histone acetyl-lysine reader,22q11.1-q11.21,protein-coding,/
CWITA001518,TCMBANKGE001518,BASP1,CAP-23; CAP23; NAP-22; NAP22,brain abundant membrane attached signal protein 1,5p15.1,protein-coding,/
CWITA001519,TCMBANKGE001519,AGPAT2,1-AGPAT2; BSCL; BSCL1; LPAAB; LPAAT-beta,1-acylglycerol-3-phosphate O-acyltransferase 2,9q34.3,protein-coding,Research target
CWITA001520,TCMBANKGE001520,PRKCH,PKC-L; PKCL; PRKCL; nPKC-eta,protein kinase C eta,14q23.1,protein-coding,Research target
CWITA001521,TCMBANKGE001521,SPIRE1,Spir-1,spire type actin nucleation factor 1,18p11.21,protein-coding,/
CWITA001522,TCMBANKGE001522,ALAS2,ALAS-E; ALASE; ANH1; ASB; SIDBA1; XLDPP; XLEPP; XLSA,5'-aminolevulinate synthase 2,Xp11.21,protein-coding,/
CWITA001523,TCMBANKGE001523,EIF2S2,EIF2; EIF2B; EIF2beta; PPP1R67; eIF-2-beta,eukaryotic translation initiation factor 2 subunit beta,20q11.22,protein-coding,/
CWITA001524,TCMBANKGE001524,SKI,SGS; SKV,SKI proto-oncogene,1p36.33-p36.32,protein-coding,/
CWITA001525,TCMBANKGE001525,TNRC6B,-,trinucleotide repeat containing adaptor 6B,22q13.1,protein-coding,/
CWITA001526,TCMBANKGE001526,GFRA3,GDNFR3,GDNF family receptor alpha 3,5q31.2,protein-coding,Clinical Trial target
CWITA001527,TCMBANKGE001527,PDS5A,PIG54; SCC-112; SCC112,PDS5 cohesin associated factor A,4p14,protein-coding,/
CWITA001528,TCMBANKGE001528,DHRS7B,CGI-93; SDR32C1,dehydrogenase/reductase 7B,17p11.2,protein-coding,/
CWITA001529,TCMBANKGE001529,ADGRG7,GPR128,adhesion G protein-coupled receptor G7,3q12.2,protein-coding,/
CWITA001530,TCMBANKGE001530,RARRES1,TIG1,retinoic acid receptor responder (tazarotene induced) 1,3q25.32,protein-coding,
CWITA001531,TCMBANKGE001531,FARSA,CML33; FARSL; FARSLA; FRSA; PheHA,phenylalanyl-tRNA synthetase subunit alpha,19p13.13,protein-coding,/
CWITA001532,TCMBANKGE001532,ERCC1,COFS4; RAD10; UV20,"ERCC excision repair 1, endonuclease non-catalytic subunit",19q13.32,protein-coding,/
CWITA001533,TCMBANKGE001533,CA14,CAXiV,carbonic anhydrase XIV,1q21,protein-coding,
CWITA001534,TCMBANKGE001534,RFPL4AL1,RNF210B,ret finger protein like 4A like 1,19q13.42,protein-coding,/
CWITA001535,TCMBANKGE001535,RAD23A,HHR23A; HR23A,"RAD23 homolog A, nucleotide excision repair protein",19p13.13,protein-coding,/
CWITA001536,TCMBANKGE001536,DLD,DLDD; DLDH; E3; GCSL; LAD; OGDC-E3; PHE3,dihydrolipoamide dehydrogenase,7q31.1,protein-coding,/
CWITA001537,TCMBANKGE001537,Bmca,-,bile mucin accumulation,15 58.05 cM,unknown,/
CWITA001538,TCMBANKGE001538,TRAPPC4,CGI-104; HSPC172; NEDESBA; PTD009; SBDN; SYNBINDIN; TRS23,trafficking protein particle complex 4,11q23.3,protein-coding,/
CWITA001539,TCMBANKGE001539,IFNA6,IFN-alphaK,interferon alpha 6,9p21.3,protein-coding,/
CWITA001540,TCMBANKGE001540,FOLR1,FBP; FOLR; FRalpha,folate receptor alpha,11q13.4,protein-coding,Successful target
CWITA001541,TCMBANKGE001541,ASAP3,ACAP4; CENTB6; DDEFL1; UPLC1,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3",1p36.12,protein-coding,Research target
CWITA001542,TCMBANKGE001542,GTF3C1,TFIIIC; TFIIIC220; TFIIICalpha,general transcription factor IIIC subunit 1,16p12.1,protein-coding,/
CWITA001543,TCMBANKGE001543,GIF,IF; IFMH; INF; TCN3,gastric intrinsic factor (vitamin B synthesis),11q13,protein-coding,
CWITA001544,TCMBANKGE001544,GAL3ST1,CST,galactose-3-O-sulfotransferase 1,22q12.2,protein-coding,/
CWITA001545,TCMBANKGE001545,ADRA2C,ADRA2L2; ADRA2RL2; ADRARL2; ALPHA2CAR,"adrenergic, alpha-2C-, receptor",4p16,protein-coding,
CWITA001546,TCMBANKGE001546,TRMT10A,HEL-S-88; MSSGM; MSSGM1; RG9MTD2; TRM10,tRNA methyltransferase 10A,4q23,protein-coding,/
CWITA001547,TCMBANKGE001547,ALDH2,ALDH-E2; ALDHI; ALDM,aldehyde dehydrogenase 2 family member,12q24.12,protein-coding,Clinical Trial target
CWITA001548,TCMBANKGE001548,FOXA1,HNF3A; TCF3A,forkhead box A1,14q21.1,protein-coding,/
CWITA001549,TCMBANKGE001549,CNTN6,NB3,contactin 6,3p26.3,protein-coding,/
CWITA001550,TCMBANKGE001550,NDE1,HOM-TES-87; LIS4; MHAC; NDE; NUDE; NUDE1,Nude_Neurodevelopment_Protein_1,16p13.11,protein-coding,
CWITA001551,TCMBANKGE001551,DSE,DS-epi1; DSEP; DSEPI; EDSMC2; SART-2; SART2,dermatan sulfate epimerase,6q22.1,protein-coding,/
CWITA001552,TCMBANKGE001552,GGPS1,GGPPS; GGPPS1,geranylgeranyl diphosphate synthase 1,1q42.3,protein-coding,/
CWITA001553,TCMBANKGE001553,FGG,-,fibrinogen gamma chain,4q32.1,protein-coding,Research target
CWITA001554,TCMBANKGE001554,KCNK4,FHEIG; K2p4.1; TRAAK; TRAAK1,potassium two pore domain channel subfamily K member 4,11q13.1,protein-coding,/
CWITA001555,TCMBANKGE001555,RARG,NR1B3; RARC,"retinoic acid receptor, gamma",12q13,protein-coding,
CWITA001556,TCMBANKGE001556,F10,FX; FXA,coagulation factor X,13q34,protein-coding,
CWITA001557,TCMBANKGE001557,XPA,XP1; XPAC,"XPA, DNA damage recognition and repair factor",9q22.33,protein-coding,Research target
CWITA001558,TCMBANKGE001558,HERC6,-,HECT and RLD domain containing E3 ubiquitin protein ligase family member 6,4q22.1,protein-coding,/
CWITA001559,TCMBANKGE001559,INO80E,CCDC95,INO80 complex subunit E,16p11.2,protein-coding,/
CWITA001560,TCMBANKGE001560,GABRA5,MGC138184,"gamma-aminobutyric acid (GABA) A receptor, alpha 5",15q11.2-q12,protein-coding,
CWITA001561,TCMBANKGE001561,LINGO4,DAAT9248; LRRN6D; PRO34002,leucine rich repeat and Ig domain containing 4,1q21.3,protein-coding,/
CWITA001562,TCMBANKGE001562,TXNRD1,GRIMN12; MGC9145; TR; TR1; TRXR1; TXNR,thioredoxin reductase 1,12q23-q24.1,protein-coding,
CWITA001563,TCMBANKGE001563,ABCC4,EST170205; MOATNB; MOATB; MRP4,"ATP-binding cassette, sub-family C (CFTR/MRP), member 4",13q32,protein-coding,
CWITA001564,TCMBANKGE001564,HSPA8,HEL-33; HEL-S-72p; HSC54; HSC70; HSC71; HSP71; HSP73; HSPA10; LAP-1; LAP1; NIP71,heat shock protein family A (Hsp70) member 8,11q24.1,protein-coding,Research target
CWITA001565,TCMBANKGE001565,SERPINA4,KAL; KLST; KST; PI-4; PI4; kallistatin,serpin family A member 4,14q32.13,protein-coding,/
CWITA001566,TCMBANKGE001566,PXK,MONAKA; SLOB,PX domain containing serine/threonine kinase like,3p14.3,protein-coding,/
CWITA001567,TCMBANKGE001567,PCDHGA3,PCDH-GAMMA-A3,"protocadherin gamma subfamily A, 3",5q31.3,protein-coding,/
CWITA001568,TCMBANKGE001568,ASNA1,ARSANI; ARSA1; GET3; MGC3821; TRC40,"arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)",19q13.3,protein-coding,
CWITA001569,TCMBANKGE001569,CLK3,PHCLK3; PHCLK3/152,CDC like kinase 3,15q24.1,protein-coding,Research target
CWITA001570,TCMBANKGE001570,RHOQ,ARHQ; HEL-S-42; RASL7A; TC10; TC10A,ras homolog family member Q,2p21,protein-coding,/
CWITA001571,TCMBANKGE001571,CASQ2,PDIB2,calsequestrin 2,1p13.1,protein-coding,/
CWITA001572,TCMBANKGE001572,C4orf46,RCDG1,chromosome 4 open reading frame 46,4q32.1,protein-coding,/
CWITA001573,TCMBANKGE001573,MAT2B,MATNII; MATIIbeta; MGC12237; Nbla02999; SDR23E1; TGR,"methionine adenosyltransferase II, beta",5q34-q35,protein-coding,
CWITA001574,TCMBANKGE001574,FUT10,FUCTX,fucosyltransferase 10,8p12,protein-coding,/
CWITA001575,TCMBANKGE001575,C12orf4,-,chromosome 12 open reading frame 4,12p13.32,protein-coding,/
CWITA001576,TCMBANKGE001576,SAMD7,-,sterile alpha motif domain containing 7,3q26.2,protein-coding,/
CWITA001577,TCMBANKGE001577,DAPK2,DRP-1; DRP1,death associated protein kinase 2,15q22.31,protein-coding,/
CWITA001578,TCMBANKGE001578,TCTEX1D2,SRTD17,Tctex1 domain containing 2,3q29,protein-coding,/
CWITA001579,TCMBANKGE001579,ZNF569,ZAP1; ZNF; Zfp74,zinc finger protein 569,19q13.12,protein-coding,/
CWITA001580,TCMBANKGE001580,FAM210B,5A3; C20orf108; dJ1167H4.1,family with sequence similarity 210 member B,20q13.2,protein-coding,/
CWITA001581,TCMBANKGE001581,AKR1C4,3-alpha-HSD; C11; CDR; CHDR; DD-4; DD4; HAKRA,aldo-keto reductase family 1 member C4,10p15.1,protein-coding,/
CWITA001582,TCMBANKGE001582,CAMK2B,CAM2; CAMK2; CAMKB; CaMKIIbeta; MRD54,calcium/calmodulin dependent protein kinase II beta,7p13,protein-coding,/
CWITA001583,TCMBANKGE001583,ERVK-21,Endo-Rev2; PR; Protease; Proteinase; c12_A; envK1,"endogenous retrovirus group K member 21, envelope",12q14.1,other,/
CWITA001584,TCMBANKGE001584,COL4A6,CXDELq22.3; DELXq22.3; DFNX6,collagen type IV alpha 6 chain,Xq22.3,protein-coding,/
CWITA001585,TCMBANKGE001585,ZFHX3,ATBF1; ATBT; C16orf47; ZFH-3; ZNF927,zinc finger homeobox 3,16q22.2-q22.3,protein-coding,/
CWITA001586,TCMBANKGE001586,PGAP2,CWH43-N; FRAG1; HPMRS3; MRT17; MRT21,post-GPI attachment to proteins 2,11p15.4,protein-coding,/
CWITA001587,TCMBANKGE001587,GGT1,CD224; D22S672; D22S732; GGT; GGT_1; GTG; MGC96892; MGC96904; MGC96963,gamma-glutamyltransferase 1,22q11.23,protein-coding,
CWITA001588,TCMBANKGE001588,IFNA17,IFN-alphaI; IFNA; INFA; LEIF2C1,interferon alpha 17,9p21.3,protein-coding,/
CWITA001589,TCMBANKGE001589,MXRA5,-,matrix remodeling associated 5,Xp22.33,protein-coding,/
CWITA001590,TCMBANKGE001590,CRLS1,C20orf155; CLS; CLS1; GCD10; dJ967N21.6,cardiolipin synthase 1,20p12.3,protein-coding,/
CWITA001591,TCMBANKGE001591,TXNL4B,DLP; Dim2,thioredoxin like 4B,16q22.2,protein-coding,/
CWITA001592,TCMBANKGE001592,RPL36AL,RPL36A,ribosomal protein L36a like,14q21.3,protein-coding,/
CWITA001593,TCMBANKGE001593,EIF3C,EIF3CL; EIF3S8; eIF3-p110,eukaryotic translation initiation factor 3 subunit C,16p11.2,protein-coding,/
CWITA001594,TCMBANKGE001594,ZNF853,-,zinc finger protein 853,7p22.1,protein-coding,/
CWITA001595,TCMBANKGE001595,DNA2,DNA2L; hDNA2,DNA replication helicase/nuclease 2,10q21.3,protein-coding,/
CWITA001596,TCMBANKGE001596,OAT,DKFZp781A11155; GACR; HOGA; OATASE; OKT,ornithine aminotransferase,10q26,protein-coding,
CWITA001597,TCMBANKGE001597,TOP2B,TOPIIB; top2beta,DNA topoisomerase II beta,3p24.2,protein-coding,Successful target
CWITA001598,TCMBANKGE001598,TMA16,C4orf43,translation machinery associated 16 homolog,4q32.2,protein-coding,/
CWITA001599,TCMBANKGE001599,SLC3A1,ATR1; CSNU1; D2H; NBAT; RBAT,solute carrier family 3 member 1,2p21,protein-coding,/
CWITA001600,TCMBANKGE001600,SIRT5,FLJ36950; SIR2L5,sirtuin 5,6p23,protein-coding,
CWITA001601,TCMBANKGE001601,ARPC4,ARC20; P20-ARC,actin related protein 2/3 complex subunit 4,3p25.3,protein-coding,/
CWITA001602,TCMBANKGE001602,SCNN1D,ENaCd; ENaCdelta; SCNED; dNaCh,sodium channel epithelial 1 subunit delta,1p36.33,protein-coding,/
CWITA001603,TCMBANKGE001603,NID2,NID-2,nidogen 2,14q22.1,protein-coding,/
CWITA001604,TCMBANKGE001604,HNRNPF,HNRPF; OK/SW-cl.23; mcs94-1,heterogeneous nuclear ribonucleoprotein F,10q11.21,protein-coding,/
CWITA001605,TCMBANKGE001605,MAF,AYGRP; CCA4; CTRCT21; c-MAF,MAF bZIP transcription factor,16q23.2,protein-coding,/
CWITA001606,TCMBANKGE001606,EPHA2,ARCC2; CTPA; CTPP1; CTRCT6; ECK,EPH receptor A2,1p36.13,protein-coding,Clinical Trial target
CWITA001607,TCMBANKGE001607,FAM222A,C12orf34,family with sequence similarity 222 member A,12q24.11,protein-coding,/
CWITA001608,TCMBANKGE001608,TSSK2,DGS-G; SPOGA2; STK22B; TSK2,testis specific serine kinase 2,22q11.21,protein-coding,Research target
CWITA001609,TCMBANKGE001609,DNAJB14,EGNR9427; PRO34683,DnaJ heat shock protein family (Hsp40) member B14,4q23,protein-coding,/
CWITA001610,TCMBANKGE001610,MAP3K9,MEKK9; MLK1; PRKE1,mitogen-activated protein kinase kinase kinase 9,14q24.2,protein-coding,Clinical Trial target
CWITA001611,TCMBANKGE001611,LMOD1,1D; 64kD; D1; SM-LMOD; SMLMOD,leiomodin 1,1q32.1,protein-coding,/
CWITA001612,TCMBANKGE001612,AOC2,DAO2; RAO; SSAO,amine oxidase copper containing 2,17q21.31,protein-coding,/
CWITA001613,TCMBANKGE001613,ITPR2,IP3R2,"inositol 1,4,5-trisphosphate receptor, type 2",12p11,protein-coding,
CWITA001614,TCMBANKGE001614,CCNG2,-,cyclin G2,4q21.1,protein-coding,/
CWITA001615,TCMBANKGE001615,RRP7A,BK126B4.3; CGI-96; Rrp7,ribosomal RNA processing 7 homolog A,22q13.2,protein-coding,/
CWITA001616,TCMBANKGE001616,GPX5,EGLP; GPx-5; GSHPx-5; HEL-S-75p,glutathione peroxidase 5,6p22.1,protein-coding,/
CWITA001617,TCMBANKGE001617,OVOL1,HOVO1,ovo like transcriptional repressor 1,11q13.1,protein-coding,/
CWITA001618,TCMBANKGE001618,ARL15,ARFRP2,ADP ribosylation factor like GTPase 15,5q11.2,protein-coding,/
CWITA001619,TCMBANKGE001619,ACAD9,MC1DN20; NPD002,acyl-CoA dehydrogenase family member 9,3q21.3,protein-coding,/
CWITA001620,TCMBANKGE001620,TMPRSS6,IRIDA; MT2,transmembrane serine protease 6,22q12.3,protein-coding,Research target
CWITA001621,TCMBANKGE001621,ETV5,ERM,ETS variant transcription factor 5,3q27.2,protein-coding,/
CWITA001622,TCMBANKGE001622,SEMA4C,M-SEMA-F; SEMACL1; SEMAF; SEMAI,semaphorin 4C,2q11.2,protein-coding,/
CWITA001623,TCMBANKGE001623,NSUN4,SHTAP,NOP2/Sun RNA methyltransferase 4,1p33,protein-coding,/
CWITA001624,TCMBANKGE001624,SLC35C1,CDG2C; FUCT1,solute carrier family 35 member C1,11p11.2,protein-coding,/
CWITA001625,TCMBANKGE001625,COX7A1,COX7A; COX7AH; COX7AM,cytochrome c oxidase subunit 7A1,19q13.12,protein-coding,/
CWITA001626,TCMBANKGE001626,TIPIN,-,TIMELESS interacting protein,15q22.31,protein-coding,/
CWITA001627,TCMBANKGE001627,ZNF821,-,zinc finger protein 821,16q22.2,protein-coding,/
CWITA001628,TCMBANKGE001628,TCP11L1,dJ85M6.3,t-complex 11 like 1,11p13,protein-coding,/
CWITA001629,TCMBANKGE001629,SMC3,BAM; BMH; CDLS3; CSPG6; HCAP; SMC3L1,structural maintenance of chromosomes 3,10q25.2,protein-coding,/
CWITA001630,TCMBANKGE001630,HPX,HX,hemopexin,11p15.4,protein-coding,/
CWITA001631,TCMBANKGE001631,VANGL1,KITENIN; LPP2; STB2; STBM2,VANGL planar cell polarity protein 1,1p13.1,protein-coding,Research target
CWITA001632,TCMBANKGE001632,PDE1B,PDE1B1; PDES1B,"phosphodiesterase 1B, calmodulin-dependent",12q13,protein-coding,
CWITA001633,TCMBANKGE001633,PRSS48,ESSPL,serine protease 48,4q31.3,protein-coding,/
CWITA001634,TCMBANKGE001634,NR3C1,GCCR; GCR; GR; GRL,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",5q31.3,protein-coding,
CWITA001635,TCMBANKGE001635,ACOT2,CTE-IA; CTE1A; MTE1; PTE2; PTE2A; ZAP128,acyl-CoA thioesterase 2,14q24.3,protein-coding,/
CWITA001636,TCMBANKGE001636,OLIG2,BHLHB1; OLIGO2; PRKCBP2; RACK17; bHLHe19,oligodendrocyte transcription factor 2,21q22.11,protein-coding,/
CWITA001637,TCMBANKGE001637,EVL,RNB6,Enah/Vasp-like,14q32.2,protein-coding,/
CWITA001638,TCMBANKGE001638,SLC25A18,GC2,"solute carrier family 25 (mitochondrial carrier), member 18",22q11.2,protein-coding,
CWITA001639,TCMBANKGE001639,PPME1,ABDH19; PME-1,protein phosphatase methylesterase 1,11q13.4,protein-coding,Patented target
CWITA001640,TCMBANKGE001640,ENSA,ARPP-19e,endosulfine alpha,1q21.3,protein-coding,Research target
CWITA001641,TCMBANKGE001641,OLFM3,NOE3; NOELIN3; OPTIMEDIN,olfactomedin 3,1p21.1,protein-coding,/
CWITA001642,TCMBANKGE001642,SP9,ZNF990,Sp9 transcription factor,2q31.1,protein-coding,/
CWITA001643,TCMBANKGE001643,DDIT4,Dig2; REDD-1; REDD1,DNA damage inducible transcript 4,10q22.1,protein-coding,Clinical Trial target
CWITA001644,TCMBANKGE001644,MSR1,CD204; SCARA1; SR-A; SR-AI; SR-AII; SR-AIII; SRA; phSR1; phSR2,macrophage scavenger receptor 1,8p22,protein-coding,Research target
CWITA001645,TCMBANKGE001645,GUCA1A,C6orf131; COD3; CORD14; GCAP; GCAP1; GUCA; GUCA1; dJ139D8.6,guanylate cyclase activator 1A (retina),6p21.1,protein-coding,
CWITA001646,TCMBANKGE001646,BLZF1,GOLGIN-45; JEM-1; JEM-1s; JEM1,basic leucine zipper nuclear factor 1,1q24.2,protein-coding,/
CWITA001647,TCMBANKGE001647,PVALB,D22S749,parvalbumin,22q12.3,protein-coding,/
CWITA001648,TCMBANKGE001648,RDH12,FLJ30273; LCA13; LCA3; SDR7C2,retinol dehydrogenase 12 (all-trans/9-cis/11-cis),14q24.1,protein-coding,
CWITA001649,TCMBANKGE001649,OTUB2,C14orf137; OTB2; OTU2,"OTU deubiquitinase, ubiquitin aldehyde binding 2",14q32.12,protein-coding,/
CWITA001650,TCMBANKGE001650,ZNF786,-,zinc finger protein 786,7q36.1,protein-coding,/
CWITA001651,TCMBANKGE001651,LGALS12,GAL12; GRIP1,galectin 12,11q12.3,protein-coding,/
CWITA001652,TCMBANKGE001652,ABCA5,ABC13; EST90625; HTC3,ATP binding cassette subfamily A member 5,17q24.3,protein-coding,/
CWITA001653,TCMBANKGE001653,BSPH1,BSP1; ELSPBP2,binder of sperm protein homolog 1,19q13.33,protein-coding,/
CWITA001654,TCMBANKGE001654,SGCA,50DAG; ADL; DAG2; DMDA2; LGMD2D; LGMDR3; SCARMD1; adhalin,sarcoglycan alpha,17q21.33,protein-coding,Clinical Trial target
CWITA001655,TCMBANKGE001655,AACS,ACSF1; SUR-5,acetoacetyl-CoA synthetase,12q24.31,protein-coding,/
CWITA001656,TCMBANKGE001656,SAT2,SSAT2,spermidine/spermine N1-acetyltransferase family member 2,17p13.1,protein-coding,/
CWITA001657,TCMBANKGE001657,PDF,-,"peptide deformylase, mitochondrial",16q22.1,protein-coding,Successful target
CWITA001658,TCMBANKGE001658,CARS1,CARS; CYSRS; MGC:11246,cysteinyl-tRNA synthetase 1,11p15.4,protein-coding,/
CWITA001659,TCMBANKGE001659,DRD4,D4DR,dopamine receptor D4,11p15.5,protein-coding,
CWITA001660,TCMBANKGE001660,RPLP0,L10E; LP0; P0; PRLP0; RPP0,ribosomal protein lateral stalk subunit P0,12q24.23,protein-coding,/
CWITA001661,TCMBANKGE001661,WIZ,ZNF803,WIZ zinc finger,19p13.12,protein-coding,/
CWITA001662,TCMBANKGE001662,ZSCAN5A,ZNF495; ZSCAN5,zinc finger and SCAN domain containing 5A,19q13.43,protein-coding,/
CWITA001663,TCMBANKGE001663,LRRC4,NAG14; NGL-2,leucine rich repeat containing 4,7q32.1,protein-coding,/
